reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
65.19.179.18,4,88,absoluteanime.com,US,Americas,Northern America,United States of America,Arizona,,Prescott Valley
65.19.187.94,4,4,themilitarystandard.com,US,Americas,Northern America,United States of America,Arizona,,Prescott Valley
