reflector_ip,ip_version,description,country_code,country_name,region,sub_region
15.164.128.84,4,ftsy.io,KR,Korea, Republic of,Asia,Eastern Asia
103.82.143.122,4,gaoloumi.cc,KR,Korea, Republic of,Asia,Eastern Asia
133.186.241.212,4,gatoblanco.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
121.78.116.221,4,gentlemonster.com,KR,Korea, Republic of,Asia,Eastern Asia
27.101.137.129,4,gg.go.kr,KR,Korea, Republic of,Asia,Eastern Asia
114.31.57.141,4,godpeople.com,KR,Korea, Republic of,Asia,Eastern Asia
133.186.247.172,4,goldgold.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
115.68.17.172,4,golemfactory.com,KR,Korea, Republic of,Asia,Eastern Asia
133.186.151.250,4,goodgold.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
211.115.125.42,4,goodtimepack.com,KR,Korea, Republic of,Asia,Eastern Asia
61.97.179.67,4,hankookilbo.com,KR,Korea, Republic of,Asia,Eastern Asia
132.145.84.111,4,hmm21.com,KR,Korea, Republic of,Asia,Eastern Asia
121.78.126.12,4,hugmom.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
58.87.54.140,4,hyundai-wia.com,KR,Korea, Republic of,Asia,Eastern Asia
58.229.150.222,4,ihall.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
133.186.212.60,4,imdak.com,KR,Korea, Republic of,Asia,Eastern Asia
133.186.132.99,4,imdak.com,KR,Korea, Republic of,Asia,Eastern Asia
133.186.208.37,4,imdak.com,KR,Korea, Republic of,Asia,Eastern Asia
211.119.243.194,4,info21c.net,KR,Korea, Republic of,Asia,Eastern Asia
218.146.254.37,4,instablank.com,KR,Korea, Republic of,Asia,Eastern Asia
133.186.223.7,4,jakomo.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
103.214.68.211,4,jianzhirenren.com,KR,Korea, Republic of,Asia,Eastern Asia
