reflector_ip,ip_version,description,country_code,country_name,region,sub_region
115.68.17.176,4,coreaad.com,KR,South Korea,Asia,Eastern Asia
117.52.31.197,4,cornervalley.co.kr,KR,South Korea,Asia,Eastern Asia
52.78.225.213,4,coronatoto.com,KR,South Korea,Asia,Eastern Asia
3.37.35.47,4,coronatoto.com,KR,South Korea,Asia,Eastern Asia
43.200.235.182,4,coronatoto.com,KR,South Korea,Asia,Eastern Asia
43.203.21.179,4,coronatoto.com,KR,South Korea,Asia,Eastern Asia
61.100.185.240,4,coyona.com,KR,South Korea,Asia,Eastern Asia
49.247.214.192,4,cpicker.com,KR,South Korea,Asia,Eastern Asia
49.247.172.91,4,cref.co.kr,KR,South Korea,Asia,Eastern Asia
218.49.77.130,4,csi-play.com,KR,South Korea,Asia,Eastern Asia
182.252.138.120,4,cubecl.com,KR,South Korea,Asia,Eastern Asia
218.232.104.144,4,daara.co.kr,KR,South Korea,Asia,Eastern Asia
110.93.29.13,4,daebudoecotour.com,KR,South Korea,Asia,Eastern Asia
112.216.33.202,4,daedo.kr,KR,South Korea,Asia,Eastern Asia
61.111.38.177,4,daedongtech.co.kr,KR,South Korea,Asia,Eastern Asia
121.78.169.155,4,daewoong.co.kr,KR,South Korea,Asia,Eastern Asia
223.130.88.7,4,dalong.net,KR,South Korea,Asia,Eastern Asia
49.247.43.161,4,dalrat.com,KR,South Korea,Asia,Eastern Asia
115.143.114.135,4,daolsoft.co.kr,KR,South Korea,Asia,Eastern Asia
1.209.167.244,4,daonshop.com,KR,South Korea,Asia,Eastern Asia
115.68.46.100,4,datago.co.kr,KR,South Korea,Asia,Eastern Asia
61.97.176.115,4,ddaily.co.kr,KR,South Korea,Asia,Eastern Asia
49.247.25.149,4,ddengle.com,KR,South Korea,Asia,Eastern Asia
3.35.96.11,4,deepx.ai,KR,South Korea,Asia,Eastern Asia
45.135.118.253,4,dengmoe.com,KR,South Korea,Asia,Eastern Asia
110.93.29.19,4,design21.net,KR,South Korea,Asia,Eastern Asia
219.240.134.18,4,designhanin.com,KR,South Korea,Asia,Eastern Asia
218.232.66.7,4,detaildnp.co.kr,KR,South Korea,Asia,Eastern Asia
112.165.49.247,4,dgcs.kr,KR,South Korea,Asia,Eastern Asia
13.124.220.1,4,dgmbc.com,KR,South Korea,Asia,Eastern Asia
3.37.143.7,4,dgmbc.com,KR,South Korea,Asia,Eastern Asia
115.71.40.136,4,digitalcamp.co.kr,KR,South Korea,Asia,Eastern Asia
192.186.16.157,4,dj527.com,KR,South Korea,Asia,Eastern Asia
218.236.58.203,4,dkmmotor.com,KR,South Korea,Asia,Eastern Asia
49.238.228.123,4,dmtech.org,KR,South Korea,Asia,Eastern Asia
222.236.47.21,4,dobido.net,KR,South Korea,Asia,Eastern Asia
180.71.58.81,4,doctor114.net,KR,South Korea,Asia,Eastern Asia
112.165.210.199,4,dolba.net,KR,South Korea,Asia,Eastern Asia
115.71.239.150,4,dongamold.com,KR,South Korea,Asia,Eastern Asia
210.121.137.130,4,dongduk.ac.kr,KR,South Korea,Asia,Eastern Asia
103.39.19.34,4,dongguanyanxia.com,KR,South Korea,Asia,Eastern Asia
121.152.44.157,4,dongguri.com,KR,South Korea,Asia,Eastern Asia
49.238.228.41,4,dongraejung.co.kr,KR,South Korea,Asia,Eastern Asia
203.241.176.14,4,dongseo.ac.kr,KR,South Korea,Asia,Eastern Asia
183.99.5.104,4,dothome.kr,KR,South Korea,Asia,Eastern Asia
14.48.175.170,4,dreamforone.com,KR,South Korea,Asia,Eastern Asia
182.208.92.35,4,drtax.kr,KR,South Korea,Asia,Eastern Asia
121.254.175.232,4,dssusan.co.kr,KR,South Korea,Asia,Eastern Asia
156.234.201.189,4,dtshot.com,KR,South Korea,Asia,Eastern Asia
211.115.125.10,4,dubuplus.com,KR,South Korea,Asia,Eastern Asia
222.110.210.66,4,durumung.com,KR,South Korea,Asia,Eastern Asia
103.48.133.206,4,duuvip.com,KR,South Korea,Asia,Eastern Asia
121.166.122.204,4,dvham.com,KR,South Korea,Asia,Eastern Asia
128.134.177.207,4,dwchina-it.com,KR,South Korea,Asia,Eastern Asia
114.108.163.170,4,e-kda.org,KR,South Korea,Asia,Eastern Asia
118.67.141.92,4,e2news.com,KR,South Korea,Asia,Eastern Asia
115.85.179.41,4,e2news.com,KR,South Korea,Asia,Eastern Asia
218.234.19.7,4,ecrobot.com,KR,South Korea,Asia,Eastern Asia
222.234.1.245,4,eduhope.net,KR,South Korea,Asia,Eastern Asia
91.204.224.58,4,efuns.net,KR,South Korea,Asia,Eastern Asia
116.122.37.87,4,egimsoft.co.kr,KR,South Korea,Asia,Eastern Asia
115.71.237.176,4,ehsolution.co.kr,KR,South Korea,Asia,Eastern Asia
111.92.189.95,4,elim2277.com,KR,South Korea,Asia,Eastern Asia
203.239.131.1,4,ELIMNET INC.,KR,South Korea,Asia,Eastern Asia
14.0.84.243,4,englishbus.co.kr,KR,South Korea,Asia,Eastern Asia
218.152.220.17,4,engtech.kr,KR,South Korea,Asia,Eastern Asia
114.108.163.186,4,episodes.org,KR,South Korea,Asia,Eastern Asia
