reflector_ip,ip_version,description,country_code,country_name,region,sub_region
104.155.202.223,4,2book.co,TW,Taiwan, Province of China,Asia,Eastern Asia
60.248.112.145,4,3311590.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
59.124.137.49,4,34c.cc,TW,Taiwan, Province of China,Asia,Eastern Asia
34.80.64.137,4,4497tw.com,TW,Taiwan, Province of China,Asia,Eastern Asia
112.121.83.24,4,486shop.com,TW,Taiwan, Province of China,Asia,Eastern Asia
202.133.247.70,4,9453p.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.189.191.133,4,ajpeace.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
35.229.200.16,4,anntw.com,TW,Taiwan, Province of China,Asia,Eastern Asia
203.74.95.128,4,appledaily.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
203.66.57.71,4,art106.com,TW,Taiwan, Province of China,Asia,Eastern Asia
61.218.179.136,4,audio-technica.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
211.20.187.118,4,b2bmit.com,TW,Taiwan, Province of China,Asia,Eastern Asia
122.147.187.105,4,bangqu.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.221.204.229,4,bazubu.com,TW,Taiwan, Province of China,Asia,Eastern Asia
104.199.172.236,4,bcc2000.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.194.237.172,4,best-legal.jp,TW,Taiwan, Province of China,Asia,Eastern Asia
35.206.217.218,4,bestj.com,TW,Taiwan, Province of China,Asia,Eastern Asia
61.216.58.144,4,biggo.co.th,TW,Taiwan, Province of China,Asia,Eastern Asia
61.31.168.92,4,bingo.hi.cn,TW,Taiwan, Province of China,Asia,Eastern Asia
104.199.187.167,4,brac.net,TW,Taiwan, Province of China,Asia,Eastern Asia
104.199.214.191,4,brilio.net,TW,Taiwan, Province of China,Asia,Eastern Asia
104.199.248.22,4,brilio.net,TW,Taiwan, Province of China,Asia,Eastern Asia
35.201.192.156,4,buhitter.com,TW,Taiwan, Province of China,Asia,Eastern Asia
112.121.107.62,4,businessweekly.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
61.221.12.36,4,buttercard.com,TW,Taiwan, Province of China,Asia,Eastern Asia
61.219.144.84,4,c2racing.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
35.194.199.77,4,camdemy.com,TW,Taiwan, Province of China,Asia,Eastern Asia
61.221.12.96,4,carstuff.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
103.17.9.237,4,catholic.org.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
203.66.68.66,4,ccr.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
35.221.238.180,4,chieftec.eu,TW,Taiwan, Province of China,Asia,Eastern Asia
61.221.12.52,4,coolaler.com,TW,Taiwan, Province of China,Asia,Eastern Asia
223.27.33.83,4,costring.com,TW,Taiwan, Province of China,Asia,Eastern Asia
34.80.221.226,4,coture.com,TW,Taiwan, Province of China,Asia,Eastern Asia
104.155.198.226,4,cozxy.com,TW,Taiwan, Province of China,Asia,Eastern Asia
61.222.218.99,4,cybermedia.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
104.199.250.167,4,daodu.tech,TW,Taiwan, Province of China,Asia,Eastern Asia
210.242.68.59,4,Data Communication Business Group,TW,Taiwan, Province of China,Asia,Eastern Asia
104.199.130.28,4,dbclmatrix.com,TW,Taiwan, Province of China,Asia,Eastern Asia
219.84.168.140,4,ddcar.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
125.228.93.78,4,demo.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
104.155.217.204,4,digital-transformation.media,TW,Taiwan, Province of China,Asia,Eastern Asia
61.221.12.18,4,dino-lite.com,TW,Taiwan, Province of China,Asia,Eastern Asia
61.219.168.150,4,e-ms.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
103.118.26.55,4,eastking.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
35.201.146.81,4,efroip.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.185.159.24,4,efroip.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
203.75.181.33,4,efunfun.com,TW,Taiwan, Province of China,Asia,Eastern Asia
34.80.13.57,4,elvis-fun.com,TW,Taiwan, Province of China,Asia,Eastern Asia
219.84.168.188,4,eprice.com.hk,TW,Taiwan, Province of China,Asia,Eastern Asia
219.84.168.168,4,eprice.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
35.185.172.255,4,erzap.com,TW,Taiwan, Province of China,Asia,Eastern Asia
103.118.26.148,4,ezplay.mobi,TW,Taiwan, Province of China,Asia,Eastern Asia
60.199.208.47,4,feebee.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
103.118.24.35,4,fftc.org.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
60.249.45.208,4,finewriting.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
104.155.197.171,4,fit.com.my,TW,Taiwan, Province of China,Asia,Eastern Asia
140.136.200.88,4,fju.edu.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
61.221.35.28,4,fl-ad.com,TW,Taiwan, Province of China,Asia,Eastern Asia
104.199.143.242,4,formsphilippines.com,TW,Taiwan, Province of China,Asia,Eastern Asia
61.219.16.131,4,gamexdd.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.185.163.165,4,giftcart.com,TW,Taiwan, Province of China,Asia,Eastern Asia
203.66.15.1,4,gm99.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.229.139.28,4,golfcamp.jp,TW,Taiwan, Province of China,Asia,Eastern Asia
104.155.210.11,4,hahow.in,TW,Taiwan, Province of China,Asia,Eastern Asia
104.199.245.184,4,happierwork.com,TW,Taiwan, Province of China,Asia,Eastern Asia
103.17.11.133,4,healthnews.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
35.234.55.107,4,hekouky.com,TW,Taiwan, Province of China,Asia,Eastern Asia
122.146.12.23,4,housetube.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
192.83.191.8,4,isu.edu.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
103.17.10.31,4,japaholic.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.185.141.218,4,kaaspro.com,TW,Taiwan, Province of China,Asia,Eastern Asia
123.195.172.194,4,kelvinwang1977.direct.quickconnect.to,TW,Taiwan, Province of China,Asia,Eastern Asia
103.118.26.53,4,kuos.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.221.147.185,4,lawchain.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
43.254.19.44,4,leatai.com,TW,Taiwan, Province of China,Asia,Eastern Asia
104.199.202.226,4,liidda.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
140.114.89.221,4,linggle.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.185.141.245,4,liskul.com,TW,Taiwan, Province of China,Asia,Eastern Asia
104.199.205.140,4,localplace.jp,TW,Taiwan, Province of China,Asia,Eastern Asia
175.181.38.134,4,longwin.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
104.155.207.152,4,luckyhelpers.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.201.236.79,4,mallbic.com,TW,Taiwan, Province of China,Asia,Eastern Asia
61.218.179.181,4,manufacturers.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
