reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
91.151.5.14,4,-4,Ookla Speedtest Server 35666: speedtest.voip-unlimited.net,GB,Europe,Northern Europe,United Kingdom,England,Hounslow,Hounslow
91.151.10.7,4,11,weather2travel.com,GB,Europe,Northern Europe,United Kingdom,England,Hounslow,Hounslow
